last_name, first_name,player_id,year,b_home_run,
Swanson, Dansby,621020,2020,10,
Taylor, Chris,621035,2020,8,
Correa, Carlos,621043,2020,5,
Olson, Matt,621566,2020,14,
Reyes, Victor,622682,2020,4,
Alonso, Pete,624413,2020,16,
Biggio, Cavan,624415,2020,8,
Conforto, Michael,624424,2020,9,
Frazier, Adam,624428,2020,7,
Cronenworth, Jake,630105,2020,4,
Anderson, Tim,641313,2020,10,
Bellinger, Cody,641355,2020,12,
Crawford, J.P.,641487,2020,2,
Dozier, Hunter,641531,2020,6,
Lewis, Kyle,641786,2020,11,
McMahon, Ryan,641857,2020,9,
Smith, Dominic,642086,2020,10,
Adames, Willy,642715,2020,8,
Kiner-Falefa, Isiah,643396,2020,3,
McNeil, Jeff,643446,2020,4,
Robles, Victor,645302,2020,3,
Devers, Rafael,646240,2020,11,
Jimenez, Eloy,650391,2020,14,
Schwarber, Kyle,656941,2020,11,
Verdugo, Alex,657077,2020,6,
White, Evan,657108,2020,8,
Laureano, Ramon,657656,2020,6,
Moncada, Yoan,660162,2020,6,
Acuna Jr., Ronald,660670,2020,14,
Riley, Austin,663586,2020,8,
Tucker, Kyle,663656,2020,9,
Grisham, Trent,663757,2020,10,
Happ, Ian,664023,2020,12,
Lowe, Brandon,664040,2020,14,
Fletcher, David,664058,2020,3,
Tatis Jr., Fernando,665487,2020,17,
Guerrero Jr., Vladimir,665489,2020,9,
Soto, Juan,665742,2020,13,
Gurriel Jr., Lourdes,666971,2020,11,
Reynolds, Bryan,668804,2020,7,
Edman, Tommy,669242,2020,5,
Solak, Nick,669256,2020,2,
Hiura, Keston,669374,2020,13,
Lopez, Nicky,670032,2020,1,
Robert, Luis,673357,2020,11,
Pujols, Albert,405395,2019,23,
Cabrera, Miguel,408234,2019,12,
Choo, Shin-Soo,425783,2019,24,
Jones, Adam,430945,2019,16,
Cruz Jr., Nelson,443558,2019,41,
Longoria, Evan,446334,2019,20,
Fowler, Dexter,451594,2019,19,
Cabrera, Asdrubal,452678,2019,18,
Blackmon, Charlie,453568,2019,32,
Cain, Lorenzo,456715,2019,11,
Turner, Justin,457759,2019,27,
Votto, Joey,458015,2019,15,
Gardner, Brett,458731,2019,28,
Braun, Ryan,460075,2019,22,
Gordon, Alex,460086,2019,13,
Andrus, Elvis,462101,2019,12,
Ramos, Wilson,467092,2019,14,
Santana, Carlos,467793,2019,34,
Belt, Brandon,474832,2019,17,
Brantley Jr., Michael,488726,2019,22,
Gurriel, Yuli,493329,2019,31,
Rojas, Miguel,500743,2019,5,
Escobar, Eduardo,500871,2019,35,
Davis, Khris,501981,2019,23,
Pham, Tommy,502054,2019,21,
Martinez, J.D.,502110,2019,36,
Reddick, Josh,502210,2019,14,
Goldschmidt, Paul,502671,2019,34,
Altuve, Jose,514888,2019,31,
Hernandez, Cesar,514917,2019,14,
Segura, Jean,516416,2019,12,
Castro, Starlin,516770,2019,22,
Marte, Starling,516782,2019,23,
Donaldson, Josh,518626,2019,37,
Freeman, Freddie,518692,2019,38,
Grandal, Yasmani,518735,2019,28,
Heyward, Jason,518792,2019,21,
LeMahieu, DJ,518934,2019,26,
Moustakas, Mike,519058,2019,35,
Rizzo, Anthony,519203,2019,27,
Galvis, Freddy,520471,2019,23,
Garcia, Avisail,541645,2019,20,
Ozuna, Marcell,542303,2019,29,
Villar, Jonathan,542340,2019,24,
Santana, Danny,542454,2019,28,
Crawford, Brandon,543063,2019,11,
Hosmer, Eric,543333,2019,22,
Kipnis, Jason,543401,2019,17,
Rendon, Anthony,543685,2019,34,
Semien, Marcus,543760,2019,33,
Springer III, George,543807,2019,39,
Vazquez, Christian,543877,2019,23,
Wong, Kolten,543939,2019,11,
Garcia, Leury,544725,2019,8,
Grichuk, Randal,545341,2019,31,
Trout, Mike,545361,2019,45,
Harper, Bryce,547180,2019,35,
Abreu, Jose,547989,2019,33,
Suarez, Eugenio,553993,2019,49,
Santana, Domingo,570267,2019,21,
Sanchez, Yolmer,570560,2019,2,
Arenado, Nolan,571448,2019,41,
Muncy, Max,571970,2019,35,
Voit III, Luke,572228,2019,21,
Walker, Christian,572233,2019,29,
Iglesias, Jose,578428,2019,11,
Bryant, Kris,592178,2019,31,
Castellanos, Nick,592206,2019,27,
Machado, Manny,592518,2019,32,
Moran, Colin,592567,2019,13,
Pederson, Joc,592626,2019,36,
Realmuto, J.T.,592663,2019,25,
Rosario, Eddie,592696,2019,32,
Yelich, Christian,592885,2019,44,
Merrifield, Whit,593160,2019,16,
Bogaerts, Xander,593428,2019,33,
Alberto, Hanser,593643,2019,12,
Polanco, Jorge,593871,2019,22,
Calhoun, Kole,594777,2019,33,
Eaton, Adam,594809,2019,15,
Profar, Jurickson,595777,2019,20,
Baez, Javier,595879,2019,29,
Lindor, Francisco,596019,2019,32,
Odor, Rougned,596059,2019,30,
Story, Trevor,596115,2019,35,
Vogelbach, Daniel,596129,2019,30,
Kepler, Max,596146,2019,36,
Bradley Jr., Jackie,598265,2019,21,
Nunez, Renato,600524,2019,31,
Ahmed, Nick,605113,2019,19,
Anderson, Brian,605119,2019,20,
Bell, Josh,605137,2019,37,
Betts, Mookie,605141,2019,29,
Smith, Mallex,605480,2019,6,
Arcia, Orlando,606115,2019,15,
Marte, Ketel,606466,2019,32,
Turner, Trea,607208,2019,19,
Pillar, Kevin,607680,2019,21,
Ramirez, Jose,608070,2019,23,
Bregman, Alex,608324,2019,41,
Seager, Corey,608369,2019,19,
Reyes, Franmil,614177,2019,37,
Swanson, Dansby,621020,2019,17,
Newman, Kevin,621028,2019,12,
Olson, Matt,621566,2019,36,
Alonso, Pete,624413,2019,53,
Conforto, Michael,624424,2019,33,
Frazier, Adam,624428,2019,10,
Puig, Yasiel,624577,2019,24,
Soler, Jorge,624585,2019,48,
Meadows, Austin,640457,2019,33,
Anderson, Tim,641313,2019,18,
Bellinger, Cody,641355,2019,47,
Dozier, Hunter,641531,2019,26,
Mancini III, Trey,641820,2019,35,
McMahon, Ryan,641857,2019,24,
Rosario, Amed,642708,2019,15,
Adames, Willy,642715,2019,20,
Benintendi, Andrew,643217,2019,13,
McNeil, Jeff,643446,2019,23,
Albies, Ozzie,645277,2019,24,
Robles, Victor,645302,2019,17,
Devers, Rafael,646240,2019,32,
Jimenez, Eloy,650391,2019,31,
Torres, Gleyber,650402,2019,38,
Chapman, Matt,656305,2019,36,
Hoskins, Rhys,656555,2019,29,
Schwarber, Kyle,656941,2019,38,
DeJong, Paul,657557,2019,30,
Moncada, Yoan,660162,2019,25,
Acuna Jr., Ronald,660670,2019,41,
Fletcher, David,664058,2019,6,
Guerrero Jr., Vladimir,665489,2019,15,
Soto, Juan,665742,2019,34,
Reynolds, Bryan,668804,2019,16,
Cabrera, Miguel,408234,2021,15,
Cruz Jr., Nelson,443558,2021,32,
Peralta, David,444482,2021,8,
Blackmon, Charlie,453568,2021,13,
McCutchen, Andrew,457705,2021,27,
Turner, Justin,457759,2021,27,
Votto, Joey,458015,2021,36,
Andrus, Elvis,462101,2021,3,
Santana, Carlos,467793,2021,19,
Lowrie, Jed,476704,2021,14,
Brantley Jr., Michael,488726,2021,8,
Gurriel, Yuli,493329,2021,15,
Rojas, Miguel,500743,2021,9,
Escobar, Eduardo,500871,2021,28,
Pham, Tommy,502054,2021,15,
Martinez, J.D.,502110,2021,28,
Goldschmidt, Paul,502671,2021,31,
Altuve, Jose,514888,2021,31,
Hernandez, Cesar,514917,2021,21,
Segura, Jean,516416,2021,14,
Marte, Starling,516782,2021,12,
Donaldson, Josh,518626,2021,26,
Freeman, Freddie,518692,2021,31,
LeMahieu, DJ,518934,2021,10,
Rizzo, Anthony,519203,2021,22,
Stanton, Giancarlo,519317,2021,35,
Perez, Salvador,521692,2021,48,
Garcia, Avisail,541645,2021,29,
Villar, Jonathan,542340,2021,18,
Aguilar, Jesus,542583,2021,22,
Crawford, Brandon,543063,2021,24,
Cron, C.J.,543068,2021,28,
Grossman, Robbie,543257,2021,23,
