"player_name","batter","events","bb_type","hc_x","hc_y","hit_distance_sc","launch_speed","pitch_name"
"Swanson, Dansby",621020,"home_run","fly_ball",219.62,86.55,361,106,"Changeup"
"Alonso, Pete",624413,"field_out","popup",162.88,185.95,77,67.2,"4-Seam Fastball"
"Soto, Juan",665742,"field_out","line_drive",106.63,135.86,170,99.2,"Cutter"
"Turner, Trea",607208,"field_out","ground_ball",104.44,175.56,2,71.6,"Slider"
"Turner, Trea",607208,"double","line_drive",43.63,108.35,252,104.7,"4-Seam Fastball"
"Soto, Juan",665742,"home_run","fly_ball",52.79,63.34,368,104.2,"Sinker"
"Turner, Trea",607208,"single","line_drive",165.72,81.97,283,82.5,"Changeup"
"Swanson, Dansby",621020,"field_out","fly_ball",212.83,97.53,329,91.8,"Changeup"
"Soto, Juan",665742,"single","ground_ball",137.63,97.28,43,97.8,"Changeup"
"Turner, Trea",607208,"field_out","ground_ball",95.43,158.49,4,93.1,"4-Seam Fastball"
"Harper, Bryce",547180,"field_out","ground_ball",160.38,164.66,113,87,"Changeup"
"Turner, Trea",607208,"single","ground_ball",81.54,114.51,9,104.7,"Slider"
"Soto, Juan",665742,"home_run","fly_ball",23.7,93.04,348,98.8,"4-Seam Fastball"
"Turner, Trea",607208,"single","line_drive",143.93,74.92,246,95.4,"Sinker"
"Swanson, Dansby",621020,"field_out","fly_ball",198.47,97.3,312,92.5,"Changeup"
"Harper, Bryce",547180,"single","line_drive",175.54,94.17,242,104.1,"Slider"
"Alonso, Pete",624413,"field_out","fly_ball",132.72,50.5,367,97.7,"4-Seam Fastball"
"Ohtani, Shohei",660271,"field_out","ground_ball",160.76,165.11,7,94.5,"4-Seam Fastball"
"Soto, Juan",665742,"home_run","fly_ball",222.61,74.97,387,104.8,"Slider"
"Swanson, Dansby",621020,"field_out","ground_ball",114.51,169.68,1,46.5,"Changeup"
"Soto, Juan",665742,"single","line_drive",93.46,57.83,290,102.2,"Changeup"
"Turner, Trea",607208,"field_out","ground_ball",95.85,155.87,34,102.7,"4-Seam Fastball"
"Soto, Juan",665742,"double","line_drive",179.04,58.65,267,116.5,"4-Seam Fastball"
"Turner, Trea",607208,"single","line_drive",148.79,63.25,269,104.9,"4-Seam Fastball"
"Swanson, Dansby",621020,"field_out","ground_ball",143.19,161.2,68,60.4,"Sinker"
"Alonso, Pete",624413,"home_run","fly_ball",227.39,91.56,363,100.3,"Slider"
"Alonso, Pete",624413,"field_out","ground_ball",111.57,167.86,36,90.9,"Cutter"
"Swanson, Dansby",621020,"single","line_drive",145,68.18,208,98.3,"4-Seam Fastball"
