last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent
Gurriel, Yuli,493329,2017,0.299,0.486,0.332
Solarte, Yangervis,500208,2017,0.255,0.416,0.314
Freese, David,501896,2017,0.263,0.371,0.368
Davis, Khris,501981,2017,0.247,0.528,0.336
Pham, Tommy,502054,2017,0.306,0.52,0.409
Reddick, Josh,502210,2017,0.314,0.484,0.357
Murphy, Daniel,502517,2017,0.322,0.543,0.384
Goldschmidt, Paul,502671,2017,0.297,0.563,0.403
Gonzalez, Marwin,503556,2017,0.303,0.53,0.375
Altuve, Jose,514888,2017,0.346,0.547,0.409
Hernandez, Cesar,514917,2017,0.294,0.421,0.373
Segura, Jean,516416,2017,0.3,0.427,0.348
Freeman, Freddie,518692,2017,0.307,0.586,0.403
LeMahieu, DJ,518934,2017,0.31,0.409,0.372
Moreland, Mitch,519048,2017,0.246,0.443,0.326
Moustakas, Mike,519058,2017,0.272,0.521,0.314
Rizzo, Anthony,519203,2017,0.273,0.507,0.392
Souza Jr., Steven,519306,2017,0.239,0.459,0.35
Stanton, Giancarlo,519317,2017,0.281,0.631,0.376
Thames, Eric,519346,2017,0.247,0.518,0.359
Galvis, Freddy,520471,2017,0.255,0.382,0.308
Garcia, Avisail,541645,2017,0.33,0.506,0.38
Inciarte, Ender,542255,2017,0.304,0.409,0.348
Ozuna, Marcell,542303,2017,0.312,0.548,0.376
Beckham, Tim,542921,2017,0.278,0.454,0.327
Crawford, Brandon,543063,2017,0.253,0.403,0.305
Harrison, Josh,543281,2017,0.272,0.432,0.338
Hosmer, Eric,543333,2017,0.318,0.498,0.385
Rendon, Anthony,543685,2017,0.301,0.533,0.403
Shaw, Travis,543768,2017,0.273,0.513,0.348
Springer III, George,543807,2017,0.283,0.522,0.366
Strange-Gordon, Dee,543829,2017,0.308,0.375,0.34
Gregorius, Didi,544369,2017,0.287,0.478,0.318
Trout, Mike,545361,2017,0.306,0.629,0.442
Herrera, Odubel,546318,2017,0.281,0.452,0.325
Abreu, Jose,547989,2017,0.304,0.552,0.354
Suarez, Eugenio,553993,2017,0.26,0.461,0.367
Santana, Domingo,570267,2017,0.278,0.505,0.371
Sanchez, Yolmer,570560,2017,0.267,0.413,0.315
Schoop, Jonathan,570731,2017,0.293,0.503,0.338
Arenado, Nolan,571448,2017,0.309,0.586,0.372
Hamilton, Billy,571740,2017,0.247,0.335,0.297
Joseph, Tommy,571830,2017,0.24,0.432,0.289
Lamb, Jake,571875,2017,0.248,0.487,0.357
Myers, Wil,571976,2017,0.243,0.464,0.328
Seager, Kyle,572122,2017,0.249,0.45,0.323
Carpenter, Matt,572761,2017,0.241,0.451,0.383
Dickerson, Corey,572816,2017,0.282,0.49,0.324
Dozier, Brian,572821,2017,0.271,0.498,0.359
Bryant, Kris,592178,2017,0.295,0.537,0.409
Castellanos, Nick,592206,2017,0.272,0.49,0.32
Gamel, Ben,592325,2017,0.275,0.413,0.322
Healy, Ryon,592387,2017,0.271,0.451,0.302
Judge, Aaron,592450,2017,0.284,0.627,0.422
Machado, Manny,592518,2017,0.259,0.471,0.31
Realmuto, J.T.,592663,2017,0.278,0.451,0.332
Rosario, Eddie,592696,2017,0.29,0.507,0.326
Simmons, Andrelton,592743,2017,0.278,0.421,0.331
Yelich, Christian,592885,2017,0.282,0.439,0.368
Merrifield, Whit,593160,2017,0.288,0.46,0.324
Bogaerts, Xander,593428,2017,0.273,0.403,0.343
Polanco, Jorge,593871,2017,0.256,0.41,0.309
Calhoun, Kole,594777,2017,0.244,0.392,0.333
Duvall, Adam,594807,2017,0.249,0.48,0.301
Schebler, Scott,594988,2017,0.233,0.484,0.307
Baez, Javier,595879,2017,0.273,0.48,0.313
Lindor, Francisco,596019,2017,0.273,0.505,0.335
Odor, Rougned,596059,2017,0.204,0.397,0.252
Story, Trevor,596115,2017,0.239,0.457,0.308
Sanchez, Gary,596142,2017,0.278,0.531,0.345
Kepler, Max,596146,2017,0.243,0.425,0.312
Franco, Maikel,596748,2017,0.23,0.409,0.281
Bradley Jr., Jackie,598265,2017,0.245,0.402,0.323
Bell, Josh,605137,2017,0.255,0.466,0.334
Betts, Mookie,605141,2017,0.264,0.459,0.344
Panik, Joe,605412,2017,0.288,0.421,0.346
Arcia, Orlando,606115,2017,0.277,0.407,0.323
Peraza, Jose,606299,2017,0.259,0.324,0.295
Pillar, Kevin,607680,2017,0.256,0.404,0.299
Ramirez, Jose,608070,2017,0.318,0.583,0.374
Bregman, Alex,608324,2017,0.284,0.475,0.351
Gallo, Joey,608336,2017,0.209,0.537,0.333
Seager, Corey,608369,2017,0.295,0.479,0.375
Mazara, Nomar,608577,2017,0.253,0.422,0.323
Swanson, Dansby,621020,2017,0.232,0.324,0.312
Taylor, Chris,621035,2017,0.288,0.496,0.354
Buxton, Byron,621439,2017,0.253,0.413,0.311
Margot, Manuel,622534,2017,0.263,0.409,0.312
Puig, Yasiel,624577,2017,0.263,0.487,0.346
Anderson, Tim,641313,2017,0.257,0.402,0.276
Bellinger, Cody,641355,2017,0.267,0.581,0.352
Mancini III, Trey,641820,2017,0.293,0.488,0.338
Benintendi, Andrew,643217,2017,0.271,0.424,0.351
Peralta, David,444482,2020,0.3,0.433,0.339
Votto, Joey,458015,2020,0.226,0.446,0.354
Santana, Carlos,467793,2020,0.199,0.35,0.349
Brantley Jr., Michael,488726,2020,0.3,0.476,0.364
Escobar, Eduardo,500871,2020,0.212,0.335,0.27
Reddick, Josh,502210,2020,0.245,0.378,0.314
Gonzalez, Marwin,503556,2020,0.211,0.32,0.286
Altuve, Jose,514888,2020,0.219,0.344,0.286
Hernandez, Cesar,514917,2020,0.283,0.408,0.352
Marte, Starling,516782,2020,0.281,0.43,0.34
Freeman, Freddie,518692,2020,0.341,0.64,0.462
LeMahieu, DJ,518934,2020,0.364,0.59,0.421
Aguilar, Jesus,542583,2020,0.277,0.457,0.352
Semien, Marcus,543760,2020,0.223,0.374,0.305
Harper, Bryce,547180,2020,0.268,0.542,0.418
Arenado, Nolan,571448,2020,0.253,0.434,0.303
Muncy, Max,571970,2020,0.192,0.389,0.331
Myers, Wil,571976,2020,0.288,0.606,0.353
Pollock, AJ,572041,2020,0.276,0.566,0.314
Seager, Kyle,572122,2020,0.241,0.433,0.355
Dickerson, Corey,572816,2020,0.258,0.402,0.31
Yastrzemski, Mike,573262,2020,0.297,0.568,0.4
Moran, Colin,592567,2020,0.247,0.472,0.325
Realmuto, J.T.,592663,2020,0.266,0.491,0.349
Merrifield, Whit,593160,2020,0.282,0.44,0.325
Polanco, Jorge,593871,2020,0.258,0.354,0.301
Duvall, Adam,594807,2020,0.237,0.532,0.301
Profar, Jurickson,595777,2020,0.278,0.428,0.342
Baez, Javier,595879,2020,0.203,0.36,0.238
Story, Trevor,596115,2020,0.289,0.519,0.355
La Stella, Tommy,600303,2020,0.281,0.449,0.368
Nunez, Renato,600524,2020,0.256,0.492,0.324
Anderson, Brian,605119,2020,0.255,0.465,0.345
Davis, J.D.,605204,2020,0.247,0.389,0.371
Nimmo, Brandon,607043,2020,0.28,0.484,0.404
Turner, Trea,607208,2020,0.335,0.588,0.394
Reyes, Franmil,614177,2020,0.275,0.45,0.344
Taylor, Chris,621035,2020,0.27,0.476,0.364
Alonso, Pete,624413,2020,0.231,0.49,0.326
Frazier, Adam,624428,2020,0.23,0.364,0.296
Crawford, J.P.,641487,2020,0.255,0.338,0.336
McNeil, Jeff,643446,2020,0.311,0.454,0.383
Schwarber, Kyle,656941,2020,0.188,0.393,0.308
Acuna Jr., Ronald,660670,2020,0.25,0.581,0.406
Fletcher, David,664058,2020,0.319,0.425,0.374
Gurriel Jr., Lourdes,666971,2020,0.308,0.534,0.348
Hiura, Keston,669374,2020,0.212,0.41,0.297
Lopez, Nicky,670032,2020,0.201,0.266,0.281
Robert, Luis,673357,2020,0.233,0.436,0.3
Cabrera, Asdrubal,452678,2020,0.242,0.447,0.305
Gurriel, Yuli,493329,2020,0.232,0.384,0.274
Segura, Jean,516416,2020,0.266,0.422,0.346
Grandal, Yasmani,518735,2020,0.23,0.422,0.351
Villar, Jonathan,542340,2020,0.232,0.292,0.3
Vazquez, Christian,543877,2020,0.283,0.457,0.344
Wong, Kolten,543939,2020,0.265,0.326,0.346
Castellanos, Nick,592206,2020,0.225,0.486,0.298
Rosario, Eddie,592696,2020,0.257,0.476,0.316
Yelich, Christian,592885,2020,0.205,0.43,0.356
Sano, Miguel,593934,2020,0.204,0.478,0.278
Calhoun, Kole,594777,2020,0.226,0.526,0.338
Lindor, Francisco,596019,2020,0.258,0.415,0.335
Ahmed, Nick,605113,2020,0.266,0.402,0.327
Bell, Josh,605137,2020,0.226,0.364,0.305
Arcia, Orlando,606115,2020,0.26,0.416,0.317
Hernandez, Teoscar,606192,2020,0.289,0.579,0.338
Marte, Ketel,606466,2020,0.287,0.409,0.323
Gallo, Joey,608336,2020,0.181,0.378,0.301
Anderson, Tim,641313,2020,0.322,0.529,0.357
Dozier, Hunter,641531,2020,0.228,0.392,0.344
Lewis, Kyle,641786,2020,0.262,0.437,0.364
McMahon, Ryan,641857,2020,0.215,0.419,0.295
Smith, Dominic,642086,2020,0.316,0.616,0.377
Adames, Willy,642715,2020,0.259,0.481,0.332
Kiner-Falefa, Isiah,643396,2020,0.28,0.37,0.329
Devers, Rafael,646240,2020,0.263,0.483,0.31
Verdugo, Alex,657077,2020,0.308,0.478,0.367
Moncada, Yoan,660162,2020,0.225,0.385,0.32
Grisham, Trent,663757,2020,0.251,0.456,0.349
Soto, Juan,665742,2020,0.351,0.695,0.49
Cruz Jr., Nelson,443558,2020,0.303,0.595,0.397
Blackmon, Charlie,453568,2020,0.303,0.448,0.356
Solano, Donovan,456781,2020,0.326,0.463,0.365
McCutchen, Andrew,457705,2020,0.253,0.433,0.324
Rizzo, Anthony,519203,2020,0.222,0.414,0.342
Hicks, Aaron,543305,2020,0.225,0.414,0.379
Rendon, Anthony,543685,2020,0.286,0.497,0.418
